"@timestamp","@version","_id","_index","_score","_type","agent.name","api.request","api.response","channel_type_code","cloud.availability_zone","cloud.instance.id","cloud.region","cloud.service.name",comp,"country_code","ecs.version","error_code","error_message","event_sub_type","event_type",gubun,"host.hostname","host.ip","host.mac","host.os.type","input.type","log.file.path","log.offset",loglevel,message,"parent_ticket_id",resource,"response_status","response_time","sa_guid","source_service_code",tags,"ticket_id",timestamp
"Jan 4, 2023 @ 10:15:03.171",1,"S3FGfIUBw89EdFJ2-duy","gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""CCPA_07O7PCDL7S"",""sa_guid"":""ch6roi7eec"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104093948"",""service_code"":""CD10001"",""channel_type_code"":""CCPA""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_07O7PCDL7S"",""message"":""The value of the event_type is invalid.""}",CCPA,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,US,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","2,691,180",INFO,"API§2023-01-04_10:15:03.171§INFO §GK§resource=registrationGlobalRequest§sa_guid=ch6roi7eec§parent_ticket_id=CCPA_07O7PCDL7S§ticket_id=CCPA_07O7PCDL7S§source_service_code=GKSCD10034§channel_type_code=CCPA§event_type=E§event_sub_type=R§country_code=US§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=7§api.request={""ticket_id"":""CCPA_07O7PCDL7S"",""sa_guid"":""ch6roi7eec"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104093948"",""service_code"":""CD10001"",""channel_type_code"":""CCPA""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_07O7PCDL7S"",""message"":""The value of the event_type is invalid.""}§","CCPA_07O7PCDL7S",registrationGlobalRequest,400,7,ch6roi7eec,GKSCD10034,"[""api"",""beats_input_codec_plain_applied""]","CCPA_07O7PCDL7S","2023-01-04_10:15:03.171"
"Jan 4, 2023 @ 10:15:01.520",1,"UXFGfIUBw89EdFJ2_Nth","gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""CCPA_26QQG9INRA"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD10001"",""channel_type_code"":""CCPA""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_26QQG9INRA"",""message"":""The value of the event_type is invalid.""}",CCPA,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,US,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","2,557,930",INFO,"API§2023-01-04_10:15:01.520§INFO §GK§resource=registrationGlobalRequest§sa_guid=sh0mcbk51j§parent_ticket_id=CCPA_26QQG9INRA§ticket_id=CCPA_26QQG9INRA§source_service_code=GKSCD10034§channel_type_code=CCPA§event_type=E§event_sub_type=R§country_code=US§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""CCPA_26QQG9INRA"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD10001"",""channel_type_code"":""CCPA""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_26QQG9INRA"",""message"":""The value of the event_type is invalid.""}§","CCPA_26QQG9INRA",registrationGlobalRequest,400,6,sh0mcbk51j,GKSCD10034,"[""api"",""beats_input_codec_plain_applied""]","CCPA_26QQG9INRA","2023-01-04_10:15:01.520"
"Jan 4, 2023 @ 10:15:01.116",1,"UHFGfIUBw89EdFJ2_Nth","gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""CCPA_08NOZ5ZCLR"",""sa_guid"":""vydvl8qioc"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230101193440"",""service_code"":""CD10001"",""channel_type_code"":""CCPA""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_08NOZ5ZCLR"",""message"":""The value of the event_type is invalid.""}",CCPA,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,US,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","2,557,171",INFO,"API§2023-01-04_10:15:01.116§INFO §GK§resource=registrationGlobalRequest§sa_guid=vydvl8qioc§parent_ticket_id=CCPA_08NOZ5ZCLR§ticket_id=CCPA_08NOZ5ZCLR§source_service_code=GKSCD10034§channel_type_code=CCPA§event_type=E§event_sub_type=R§country_code=US§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=65§api.request={""ticket_id"":""CCPA_08NOZ5ZCLR"",""sa_guid"":""vydvl8qioc"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230101193440"",""service_code"":""CD10001"",""channel_type_code"":""CCPA""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_08NOZ5ZCLR"",""message"":""The value of the event_type is invalid.""}§","CCPA_08NOZ5ZCLR",registrationGlobalRequest,400,65,vydvl8qioc,GKSCD10034,"[""api"",""beats_input_codec_plain_applied""]","CCPA_08NOZ5ZCLR","2023-01-04_10:15:01.116"
"Jan 4, 2023 @ 09:05:26.506",1,TRcHfIUBwE5SqNpdQBfA,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""CCPA_ZKEX03B82J"",""sa_guid"":""ofpnkvmfxb"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104061106"",""service_code"":""CD30005"",""channel_type_code"":""CCPA""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_ZKEX03B82J"",""message"":""The value of the event_type is invalid.""}",CCPA,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,US,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","576,063",INFO,"API§2023-01-04_09:05:26.506§INFO §GK§resource=registrationGlobalRequest§sa_guid=ofpnkvmfxb§parent_ticket_id=CCPA_ZKEX03B82J§ticket_id=CCPA_ZKEX03B82J§source_service_code=GKSCD10005§channel_type_code=CCPA§event_type=E§event_sub_type=R§country_code=US§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""CCPA_ZKEX03B82J"",""sa_guid"":""ofpnkvmfxb"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104061106"",""service_code"":""CD30005"",""channel_type_code"":""CCPA""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_ZKEX03B82J"",""message"":""The value of the event_type is invalid.""}§","CCPA_ZKEX03B82J",registrationGlobalRequest,400,5,ofpnkvmfxb,GKSCD10005,"[""api"",""beats_input_codec_plain_applied""]","CCPA_ZKEX03B82J","2023-01-04_09:05:26.506"
"Jan 4, 2023 @ 09:05:20.343",1,6hcHfIUBwE5SqNpdKRNH,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""CCPA_NP2DT1MHSV"",""sa_guid"":""sru5lv2akc"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20221228044817"",""service_code"":""CD30010"",""channel_type_code"":""CCPA""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_NP2DT1MHSV"",""message"":""The value of the event_type is invalid.""}",CCPA,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,US,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","532,263",INFO,"API§2023-01-04_09:05:20.343§INFO §GK§resource=registrationGlobalRequest§sa_guid=sru5lv2akc§parent_ticket_id=CCPA_NP2DT1MHSV§ticket_id=CCPA_NP2DT1MHSV§source_service_code=GKSCD10010§channel_type_code=CCPA§event_type=E§event_sub_type=R§country_code=US§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""CCPA_NP2DT1MHSV"",""sa_guid"":""sru5lv2akc"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20221228044817"",""service_code"":""CD30010"",""channel_type_code"":""CCPA""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_NP2DT1MHSV"",""message"":""The value of the event_type is invalid.""}§","CCPA_NP2DT1MHSV",registrationGlobalRequest,400,6,sru5lv2akc,GKSCD10010,"[""api"",""beats_input_codec_plain_applied""]","CCPA_NP2DT1MHSV","2023-01-04_09:05:20.343"
"Jan 4, 2023 @ 09:05:07.412",1,kHEGfIUBw89EdFJ29M6y,"gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""CCPA_ZXV20O79CU"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD30006"",""channel_type_code"":""CCPA""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_ZXV20O79CU"",""message"":""The value of the event_type is invalid.""}",CCPA,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,US,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","448,077",INFO,"API§2023-01-04_09:05:07.412§INFO §GK§resource=registrationGlobalRequest§sa_guid=sh0mcbk51j§parent_ticket_id=CCPA_ZXV20O79CU§ticket_id=CCPA_ZXV20O79CU§source_service_code=GKSCD10006§channel_type_code=CCPA§event_type=E§event_sub_type=R§country_code=US§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""CCPA_ZXV20O79CU"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD30006"",""channel_type_code"":""CCPA""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_ZXV20O79CU"",""message"":""The value of the event_type is invalid.""}§","CCPA_ZXV20O79CU",registrationGlobalRequest,400,6,sh0mcbk51j,GKSCD10006,"[""api"",""beats_input_codec_plain_applied""]","CCPA_ZXV20O79CU","2023-01-04_09:05:07.412"
"Jan 4, 2023 @ 09:05:07.083",1,ZxcGfIUBwE5SqNpd8hCK,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""CCPA_UOGBRYKIJ4"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD30002"",""channel_type_code"":""CCPA""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_UOGBRYKIJ4"",""message"":""The value of the event_type is invalid.""}",CCPA,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,US,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","494,772",INFO,"API§2023-01-04_09:05:07.083§INFO §GK§resource=registrationGlobalRequest§sa_guid=sh0mcbk51j§parent_ticket_id=CCPA_UOGBRYKIJ4§ticket_id=CCPA_UOGBRYKIJ4§source_service_code=GKSCD10002§channel_type_code=CCPA§event_type=E§event_sub_type=R§country_code=US§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""CCPA_UOGBRYKIJ4"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD30002"",""channel_type_code"":""CCPA""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_UOGBRYKIJ4"",""message"":""The value of the event_type is invalid.""}§","CCPA_UOGBRYKIJ4",registrationGlobalRequest,400,5,sh0mcbk51j,GKSCD10002,"[""api"",""beats_input_codec_plain_applied""]","CCPA_UOGBRYKIJ4","2023-01-04_09:05:07.083"
"Jan 4, 2023 @ 09:05:06.756",1,ZhcGfIUBwE5SqNpd8hCK,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""CCPA_UM0TKI47IW"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD30027"",""channel_type_code"":""CCPA""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_UM0TKI47IW"",""message"":""The value of the event_type is invalid.""}",CCPA,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,US,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","494,014",INFO,"API§2023-01-04_09:05:06.756§INFO §GK§resource=registrationGlobalRequest§sa_guid=sh0mcbk51j§parent_ticket_id=CCPA_UM0TKI47IW§ticket_id=CCPA_UM0TKI47IW§source_service_code=GKSCD10029§channel_type_code=CCPA§event_type=E§event_sub_type=R§country_code=US§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""CCPA_UM0TKI47IW"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD30027"",""channel_type_code"":""CCPA""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_UM0TKI47IW"",""message"":""The value of the event_type is invalid.""}§","CCPA_UM0TKI47IW",registrationGlobalRequest,400,5,sh0mcbk51j,GKSCD10029,"[""api"",""beats_input_codec_plain_applied""]","CCPA_UM0TKI47IW","2023-01-04_09:05:06.756"
"Jan 4, 2023 @ 09:05:06.433",1,j3EGfIUBw89EdFJ29M6y,"gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""CCPA_L1Q7ADVXVV"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD30005"",""channel_type_code"":""CCPA""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_L1Q7ADVXVV"",""message"":""The value of the event_type is invalid.""}",CCPA,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,US,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","447,319",INFO,"API§2023-01-04_09:05:06.433§INFO §GK§resource=registrationGlobalRequest§sa_guid=sh0mcbk51j§parent_ticket_id=CCPA_L1Q7ADVXVV§ticket_id=CCPA_L1Q7ADVXVV§source_service_code=GKSCD10005§channel_type_code=CCPA§event_type=E§event_sub_type=R§country_code=US§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""CCPA_L1Q7ADVXVV"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD30005"",""channel_type_code"":""CCPA""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_L1Q7ADVXVV"",""message"":""The value of the event_type is invalid.""}§","CCPA_L1Q7ADVXVV",registrationGlobalRequest,400,6,sh0mcbk51j,GKSCD10005,"[""api"",""beats_input_codec_plain_applied""]","CCPA_L1Q7ADVXVV","2023-01-04_09:05:06.433"
"Jan 4, 2023 @ 09:05:06.106",1,jnEGfIUBw89EdFJ29M6y,"gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""CCPA_KRXQ0XUMSD"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD30018"",""channel_type_code"":""CCPA""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_KRXQ0XUMSD"",""message"":""The value of the event_type is invalid.""}",CCPA,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,US,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","446,561",INFO,"API§2023-01-04_09:05:06.106§INFO §GK§resource=registrationGlobalRequest§sa_guid=sh0mcbk51j§parent_ticket_id=CCPA_KRXQ0XUMSD§ticket_id=CCPA_KRXQ0XUMSD§source_service_code=GKSCD10020§channel_type_code=CCPA§event_type=E§event_sub_type=R§country_code=US§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=7§api.request={""ticket_id"":""CCPA_KRXQ0XUMSD"",""sa_guid"":""sh0mcbk51j"",""country_code"":""US"",""lang_code"":""en"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104090257"",""service_code"":""CD30018"",""channel_type_code"":""CCPA""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CCPA_KRXQ0XUMSD"",""message"":""The value of the event_type is invalid.""}§","CCPA_KRXQ0XUMSD",registrationGlobalRequest,400,7,sh0mcbk51j,GKSCD10020,"[""api"",""beats_input_codec_plain_applied""]","CCPA_KRXQ0XUMSD","2023-01-04_09:05:06.106"
