"@timestamp","@version","_id","_index","_score","_type","agent.name","api.request","api.response","channel_type_code","cloud.availability_zone","cloud.instance.id","cloud.region","cloud.service.name",comp,"country_code","ecs.version","error_code","error_message","event_sub_type","event_type",gubun,"host.hostname","host.ip","host.mac","host.os.type","input.type","log.file.path","log.offset",loglevel,message,"parent_ticket_id",resource,"response_status","response_time","sa_guid","source_service_code",tags,"ticket_id",timestamp
"Jan 4, 2023 @ 11:47:04.493",1,KnGbfIUBw89EdFJ2OfDB,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""CN20230104000074"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30031"",""channel_type_code"":""CNPP""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000074"",""message"":""The value of the event_type is invalid.""}",CNPP,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,CN,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","6,139,900",INFO,"API§2023-01-04_11:47:04.493§INFO §GK§resource=registrationGlobalRequest§sa_guid=tgiuxghjde§parent_ticket_id=CN20230104000074§ticket_id=CN20230104000074§source_service_code=GKSCD10040§channel_type_code=CNPP§event_type=E§event_sub_type=R§country_code=CN§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""CN20230104000074"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30031"",""channel_type_code"":""CNPP""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000074"",""message"":""The value of the event_type is invalid.""}§",CN20230104000074,registrationGlobalRequest,400,5,tgiuxghjde,GKSCD10040,"[""api"",""beats_input_codec_plain_applied""]",CN20230104000074,"2023-01-04_11:47:04.493"
"Jan 4, 2023 @ 11:47:04.214",1,KXGbfIUBw89EdFJ2OfDB,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""CN20230104000073"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30018"",""channel_type_code"":""CNPP""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000073"",""message"":""The value of the event_type is invalid.""}",CNPP,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,CN,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","6,139,138",INFO,"API§2023-01-04_11:47:04.214§INFO §GK§resource=registrationGlobalRequest§sa_guid=tgiuxghjde§parent_ticket_id=CN20230104000073§ticket_id=CN20230104000073§source_service_code=GKSCD10020§channel_type_code=CNPP§event_type=E§event_sub_type=R§country_code=CN§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=4§api.request={""ticket_id"":""CN20230104000073"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30018"",""channel_type_code"":""CNPP""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000073"",""message"":""The value of the event_type is invalid.""}§",CN20230104000073,registrationGlobalRequest,400,4,tgiuxghjde,GKSCD10020,"[""api"",""beats_input_codec_plain_applied""]",CN20230104000073,"2023-01-04_11:47:04.214"
"Jan 4, 2023 @ 11:47:03.934",1,MnGbfIUBw89EdFJ2OvB1,"gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""CN20230104000072"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30017"",""channel_type_code"":""CNPP""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000072"",""message"":""The value of the event_type is invalid.""}",CNPP,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,CN,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","6,219,559",INFO,"API§2023-01-04_11:47:03.934§INFO §GK§resource=registrationGlobalRequest§sa_guid=tgiuxghjde§parent_ticket_id=CN20230104000072§ticket_id=CN20230104000072§source_service_code=GKSCD10019§channel_type_code=CNPP§event_type=E§event_sub_type=R§country_code=CN§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""CN20230104000072"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30017"",""channel_type_code"":""CNPP""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000072"",""message"":""The value of the event_type is invalid.""}§",CN20230104000072,registrationGlobalRequest,400,6,tgiuxghjde,GKSCD10019,"[""api"",""beats_input_codec_plain_applied""]",CN20230104000072,"2023-01-04_11:47:03.934"
"Jan 4, 2023 @ 11:47:03.654",1,"Xi6bfIUBEKlRkG37X_Z9","gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""CN20230104000071"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30015"",""channel_type_code"":""CNPP""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000071"",""message"":""The value of the event_type is invalid.""}",CNPP,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,CN,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","6,117,004",INFO,"API§2023-01-04_11:47:03.654§INFO §GK§resource=registrationGlobalRequest§sa_guid=tgiuxghjde§parent_ticket_id=CN20230104000071§ticket_id=CN20230104000071§source_service_code=GKSCD10016§channel_type_code=CNPP§event_type=E§event_sub_type=R§country_code=CN§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""CN20230104000071"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30015"",""channel_type_code"":""CNPP""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000071"",""message"":""The value of the event_type is invalid.""}§",CN20230104000071,registrationGlobalRequest,400,5,tgiuxghjde,GKSCD10016,"[""api"",""beats_input_codec_plain_applied""]",CN20230104000071,"2023-01-04_11:47:03.654"
"Jan 4, 2023 @ 11:47:03.345",1,DnGbfIUBw89EdFJ2NvCN,"gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""CN20230104000070"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30013"",""channel_type_code"":""CNPP""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000070"",""message"":""The value of the event_type is invalid.""}",CNPP,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,CN,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","6,203,179",INFO,"API§2023-01-04_11:47:03.345§INFO §GK§resource=registrationGlobalRequest§sa_guid=tgiuxghjde§parent_ticket_id=CN20230104000070§ticket_id=CN20230104000070§source_service_code=GKSCD10014§channel_type_code=CNPP§event_type=E§event_sub_type=R§country_code=CN§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=7§api.request={""ticket_id"":""CN20230104000070"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30013"",""channel_type_code"":""CNPP""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000070"",""message"":""The value of the event_type is invalid.""}§",CN20230104000070,registrationGlobalRequest,400,7,tgiuxghjde,GKSCD10014,"[""api"",""beats_input_codec_plain_applied""]",CN20230104000070,"2023-01-04_11:47:03.345"
"Jan 4, 2023 @ 11:47:03.059",1,DXGbfIUBw89EdFJ2NvCN,"gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""CN20230104000069"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30011"",""channel_type_code"":""CNPP""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000069"",""message"":""The value of the event_type is invalid.""}",CNPP,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,CN,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","6,202,417",INFO,"API§2023-01-04_11:47:03.059§INFO §GK§resource=registrationGlobalRequest§sa_guid=tgiuxghjde§parent_ticket_id=CN20230104000069§ticket_id=CN20230104000069§source_service_code=GKSCD10011§channel_type_code=CNPP§event_type=E§event_sub_type=R§country_code=CN§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""CN20230104000069"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30011"",""channel_type_code"":""CNPP""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000069"",""message"":""The value of the event_type is invalid.""}§",CN20230104000069,registrationGlobalRequest,400,6,tgiuxghjde,GKSCD10011,"[""api"",""beats_input_codec_plain_applied""]",CN20230104000069,"2023-01-04_11:47:03.059"
"Jan 4, 2023 @ 11:47:02.780",1,"9nGbfIUBw89EdFJ2Mu-j","gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""CN20230104000068"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30010"",""channel_type_code"":""CNPP""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000068"",""message"":""The value of the event_type is invalid.""}",CNPP,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,CN,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","6,187,681",INFO,"API§2023-01-04_11:47:02.780§INFO §GK§resource=registrationGlobalRequest§sa_guid=tgiuxghjde§parent_ticket_id=CN20230104000068§ticket_id=CN20230104000068§source_service_code=GKSCD10010§channel_type_code=CNPP§event_type=E§event_sub_type=R§country_code=CN§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""CN20230104000068"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30010"",""channel_type_code"":""CNPP""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000068"",""message"":""The value of the event_type is invalid.""}§",CN20230104000068,registrationGlobalRequest,400,6,tgiuxghjde,GKSCD10010,"[""api"",""beats_input_codec_plain_applied""]",CN20230104000068,"2023-01-04_11:47:02.780"
"Jan 4, 2023 @ 11:47:02.483",1,"9XGbfIUBw89EdFJ2Mu-j","gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""CN20230104000067"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30009"",""channel_type_code"":""CNPP""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000067"",""message"":""The value of the event_type is invalid.""}",CNPP,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,CN,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","6,180,343",INFO,"API§2023-01-04_11:47:02.483§INFO §GK§resource=registrationGlobalRequest§sa_guid=tgiuxghjde§parent_ticket_id=CN20230104000067§ticket_id=CN20230104000067§source_service_code=GKSCD10009§channel_type_code=CNPP§event_type=E§event_sub_type=R§country_code=CN§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""CN20230104000067"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30009"",""channel_type_code"":""CNPP""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000067"",""message"":""The value of the event_type is invalid.""}§",CN20230104000067,registrationGlobalRequest,400,6,tgiuxghjde,GKSCD10009,"[""api"",""beats_input_codec_plain_applied""]",CN20230104000067,"2023-01-04_11:47:02.483"
"Jan 4, 2023 @ 11:47:02.180",1,"QS6bfIUBEKlRkG37W_aW","gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""CN20230104000066"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30007"",""channel_type_code"":""CNPP""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000066"",""message"":""The value of the event_type is invalid.""}",CNPP,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,CN,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","6,068,930",INFO,"API§2023-01-04_11:47:02.180§INFO §GK§resource=registrationGlobalRequest§sa_guid=tgiuxghjde§parent_ticket_id=CN20230104000066§ticket_id=CN20230104000066§source_service_code=GKSCD10007§channel_type_code=CNPP§event_type=E§event_sub_type=R§country_code=CN§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""CN20230104000066"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30007"",""channel_type_code"":""CNPP""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000066"",""message"":""The value of the event_type is invalid.""}§",CN20230104000066,registrationGlobalRequest,400,5,tgiuxghjde,GKSCD10007,"[""api"",""beats_input_codec_plain_applied""]",CN20230104000066,"2023-01-04_11:47:02.180"
"Jan 4, 2023 @ 11:47:01.889",1,IS6bfIUBEKlRkG37WPZv,"gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""CN20230104000065"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30005"",""channel_type_code"":""CNPP""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000065"",""message"":""The value of the event_type is invalid.""}",CNPP,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,CN,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Erasure,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","6,177,768",INFO,"API§2023-01-04_11:47:01.889§INFO §GK§resource=registrationGlobalRequest§sa_guid=tgiuxghjde§parent_ticket_id=CN20230104000065§ticket_id=CN20230104000065§source_service_code=GKSCD10005§channel_type_code=CNPP§event_type=E§event_sub_type=R§country_code=CN§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""CN20230104000065"",""sa_guid"":""tgiuxghjde"",""country_code"":""CN"",""lang_code"":""zh"",""event_type"":""erasure"",""password"":""**********"",""user_request_date"":""20230104104700"",""service_code"":""CD30005"",""channel_type_code"":""CNPP""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""CN20230104000065"",""message"":""The value of the event_type is invalid.""}§",CN20230104000065,registrationGlobalRequest,400,6,tgiuxghjde,GKSCD10005,"[""api"",""beats_input_codec_plain_applied""]",CN20230104000065,"2023-01-04_11:47:01.889"
