"@timestamp","@version","_id","_index","_score","_type","agent.name","api.request","api.response","channel_type_code","cloud.availability_zone","cloud.instance.id","cloud.region","cloud.service.name",comp,"country_code","ecs.version","error_code","error_message","event_sub_type","event_type",gubun,"host.hostname","host.ip","host.mac","host.os.type","input.type","log.file.path","log.offset",loglevel,message,"parent_ticket_id",resource,"response_status","response_time","sa_guid","source_service_code",tags,"ticket_id",timestamp
"Jan 4, 2023 @ 12:42:08.520",1,aCfNfIUBwE5SqNpdpe6T,"gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""GDPR-1869604-CD10002"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD10002"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD10002"",""message"":""The value of the event_type is invalid.""}",GDPRS,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,NO,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Restrict,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","9,875,582",INFO,"API§2023-01-04_12:42:08.520§INFO §GK§resource=registrationGlobalRequest§sa_guid=clegqjnvqh§parent_ticket_id=GDPR-1868694§ticket_id=GDPR-1869604-CD10002§source_service_code=GKSCD10039§channel_type_code=G§event_type=R§event_sub_type=R§country_code=NO§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""GDPR-1869604-CD10002"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD10002"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD10002"",""message"":""The value of the event_type is invalid.""}§","GDPR-1868694",registrationGlobalRequest,400,5,clegqjnvqh,GKSCD10039,"[""api"",""beats_input_codec_plain_applied""]","GDPR-1869604-CD10002","2023-01-04_12:42:08.520"
"Jan 4, 2023 @ 12:42:07.989",1,"tC_NfIUBEKlRkG37ywgw","gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""GDPR-1869604-CD20003"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD20003"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD20003"",""message"":""The value of the event_type is invalid.""}",GDPRS,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,NO,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Restrict,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","9,475,382",INFO,"API§2023-01-04_12:42:07.989§INFO §GK§resource=registrationGlobalRequest§sa_guid=clegqjnvqh§parent_ticket_id=GDPR-1868694§ticket_id=GDPR-1869604-CD20003§source_service_code=GKSCD10037§channel_type_code=G§event_type=R§event_sub_type=R§country_code=NO§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""GDPR-1869604-CD20003"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD20003"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD20003"",""message"":""The value of the event_type is invalid.""}§","GDPR-1868694",registrationGlobalRequest,400,5,clegqjnvqh,GKSCD10037,"[""api"",""beats_input_codec_plain_applied""]","GDPR-1869604-CD20003","2023-01-04_12:42:07.989"
"Jan 4, 2023 @ 12:42:07.525",1,"sy_NfIUBEKlRkG37ywgw","gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""GDPR-1869604-CD20002"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD20002"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD20002"",""message"":""The value of the event_type is invalid.""}",GDPRS,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,NO,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Restrict,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","9,474,577",INFO,"API§2023-01-04_12:42:07.525§INFO §GK§resource=registrationGlobalRequest§sa_guid=clegqjnvqh§parent_ticket_id=GDPR-1868694§ticket_id=GDPR-1869604-CD20002§source_service_code=GKSCD10036§channel_type_code=G§event_type=R§event_sub_type=R§country_code=NO§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""GDPR-1869604-CD20002"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD20002"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD20002"",""message"":""The value of the event_type is invalid.""}§","GDPR-1868694",registrationGlobalRequest,400,5,clegqjnvqh,GKSCD10036,"[""api"",""beats_input_codec_plain_applied""]","GDPR-1869604-CD20002","2023-01-04_12:42:07.525"
"Jan 4, 2023 @ 12:42:07.065",1,YifNfIUBwE5SqNpdne6X,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""GDPR-1869604-CD10003"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD10003"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD10003"",""message"":""The value of the event_type is invalid.""}",GDPRS,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,NO,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Restrict,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","9,473,772",INFO,"API§2023-01-04_12:42:07.065§INFO §GK§resource=registrationGlobalRequest§sa_guid=clegqjnvqh§parent_ticket_id=GDPR-1868694§ticket_id=GDPR-1869604-CD10003§source_service_code=GKSCD10035§channel_type_code=G§event_type=R§event_sub_type=R§country_code=NO§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""GDPR-1869604-CD10003"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD10003"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD10003"",""message"":""The value of the event_type is invalid.""}§","GDPR-1868694",registrationGlobalRequest,400,5,clegqjnvqh,GKSCD10035,"[""api"",""beats_input_codec_plain_applied""]","GDPR-1869604-CD10003","2023-01-04_12:42:07.065"
"Jan 4, 2023 @ 12:42:06.635",1,YSfNfIUBwE5SqNpdne6X,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""GDPR-1869604-CD10001"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD10001"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD10001"",""message"":""The value of the event_type is invalid.""}",GDPRS,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,NO,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Restrict,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","9,470,808",INFO,"API§2023-01-04_12:42:06.635§INFO §GK§resource=registrationGlobalRequest§sa_guid=clegqjnvqh§parent_ticket_id=GDPR-1868694§ticket_id=GDPR-1869604-CD10001§source_service_code=GKSCD10034§channel_type_code=G§event_type=R§event_sub_type=R§country_code=NO§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""GDPR-1869604-CD10001"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD10001"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD10001"",""message"":""The value of the event_type is invalid.""}§","GDPR-1868694",registrationGlobalRequest,400,5,clegqjnvqh,GKSCD10034,"[""api"",""beats_input_codec_plain_applied""]","GDPR-1869604-CD10001","2023-01-04_12:42:06.635"
"Jan 4, 2023 @ 12:42:06.189",1,YCfNfIUBwE5SqNpdne6X,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""GDPR-1869604-CD30029"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD30029"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD30029"",""message"":""The value of the event_type is invalid.""}",GDPRS,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,NO,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Restrict,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","9,470,003",INFO,"API§2023-01-04_12:42:06.189§INFO §GK§resource=registrationGlobalRequest§sa_guid=clegqjnvqh§parent_ticket_id=GDPR-1868694§ticket_id=GDPR-1869604-CD30029§source_service_code=GKSCD10032§channel_type_code=G§event_type=R§event_sub_type=R§country_code=NO§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""GDPR-1869604-CD30029"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD30029"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD30029"",""message"":""The value of the event_type is invalid.""}§","GDPR-1868694",registrationGlobalRequest,400,5,clegqjnvqh,GKSCD10032,"[""api"",""beats_input_codec_plain_applied""]","GDPR-1869604-CD30029","2023-01-04_12:42:06.189"
"Jan 4, 2023 @ 12:42:05.719",1,"rS_NfIUBEKlRkG37wwiI","gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""GDPR-1869604-CD30027"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD30027"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD30027"",""message"":""The value of the event_type is invalid.""}",GDPRS,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,NO,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Restrict,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","9,847,779",INFO,"API§2023-01-04_12:42:05.719§INFO §GK§resource=registrationGlobalRequest§sa_guid=clegqjnvqh§parent_ticket_id=GDPR-1868694§ticket_id=GDPR-1869604-CD30027§source_service_code=GKSCD10029§channel_type_code=G§event_type=R§event_sub_type=R§country_code=NO§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""GDPR-1869604-CD30027"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD30027"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD30027"",""message"":""The value of the event_type is invalid.""}§","GDPR-1868694",registrationGlobalRequest,400,6,clegqjnvqh,GKSCD10029,"[""api"",""beats_input_codec_plain_applied""]","GDPR-1869604-CD30027","2023-01-04_12:42:05.719"
"Jan 4, 2023 @ 12:42:05.269",1,"rC_NfIUBEKlRkG37wwiI","gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""GDPR-1869604-CD30026"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD30026"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD30026"",""message"":""The value of the event_type is invalid.""}",GDPRS,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,NO,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Restrict,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","9,846,974",INFO,"API§2023-01-04_12:42:05.269§INFO §GK§resource=registrationGlobalRequest§sa_guid=clegqjnvqh§parent_ticket_id=GDPR-1868694§ticket_id=GDPR-1869604-CD30026§source_service_code=GKSCD10028§channel_type_code=G§event_type=R§event_sub_type=R§country_code=NO§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""GDPR-1869604-CD30026"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD30026"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD30026"",""message"":""The value of the event_type is invalid.""}§","GDPR-1868694",registrationGlobalRequest,400,6,clegqjnvqh,GKSCD10028,"[""api"",""beats_input_codec_plain_applied""]","GDPR-1869604-CD30026","2023-01-04_12:42:05.269"
"Jan 4, 2023 @ 12:42:04.753",1,VyfNfIUBwE5SqNpdle7G,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""GDPR-1869604-CD30025"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD30025"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD30025"",""message"":""The value of the event_type is invalid.""}",GDPRS,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,NO,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Restrict,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","9,464,664",INFO,"API§2023-01-04_12:42:04.753§INFO §GK§resource=registrationGlobalRequest§sa_guid=clegqjnvqh§parent_ticket_id=GDPR-1868694§ticket_id=GDPR-1869604-CD30025§source_service_code=GKSCD10027§channel_type_code=G§event_type=R§event_sub_type=R§country_code=NO§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=4§api.request={""ticket_id"":""GDPR-1869604-CD30025"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD30025"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD30025"",""message"":""The value of the event_type is invalid.""}§","GDPR-1868694",registrationGlobalRequest,400,4,clegqjnvqh,GKSCD10027,"[""api"",""beats_input_codec_plain_applied""]","GDPR-1869604-CD30025","2023-01-04_12:42:04.753"
"Jan 4, 2023 @ 12:42:04.220",1,VifNfIUBwE5SqNpdle7G,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""GDPR-1869604-CD30024"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD30024"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD30024"",""message"":""The value of the event_type is invalid.""}",GDPRS,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,NO,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Restrict,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","9,456,996",INFO,"API§2023-01-04_12:42:04.220§INFO §GK§resource=registrationGlobalRequest§sa_guid=clegqjnvqh§parent_ticket_id=GDPR-1868694§ticket_id=GDPR-1869604-CD30024§source_service_code=GKSCD10026§channel_type_code=G§event_type=R§event_sub_type=R§country_code=NO§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""GDPR-1869604-CD30024"",""sa_guid"":""clegqjnvqh"",""country_code"":""NO"",""event_type"":""restrict"",""password"":""**********"",""user_request_date"":""20230103185022"",""service_code"":""CD30024"",""channel_type_code"":""GDPR"",""parent_ticket_id"":""GDPR-1868694"",""ticket_count"":""30""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""GDPR-1869604-CD30024"",""message"":""The value of the event_type is invalid.""}§","GDPR-1868694",registrationGlobalRequest,400,5,clegqjnvqh,GKSCD10026,"[""api"",""beats_input_codec_plain_applied""]","GDPR-1869604-CD30024","2023-01-04_12:42:04.220"
