"@timestamp","@version","_id","_index","_score","_type","agent.name","api.request","api.response","channel_type_code","cloud.availability_zone","cloud.instance.id","cloud.region","cloud.service.name",comp,"country_code","ecs.version","error_code","error_message","event_sub_type","event_type",gubun,"host.hostname","host.ip","host.mac","host.os.type","input.type","log.file.path","log.offset",loglevel,message,"parent_ticket_id",resource,"response_status","response_time","sa_guid","source_service_code",tags,"ticket_id",timestamp
"Jan 4, 2023 @ 11:00:31.287",1,FSBwfIUBwE5SqNpdnAXj,"gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}",LGPD,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,BR,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Portability,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","54,539",INFO,"API§2023-01-04_11:00:31.287§INFO §GK§resource=registrationGlobalRequest§sa_guid=92fybervug§parent_ticket_id=LP20230104000051§ticket_id=LP20230104000051§source_service_code=GKSCD10011§channel_type_code=LGPD§event_type=P§event_sub_type=R§country_code=BR§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=7§api.request={""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}§",LP20230104000051,registrationGlobalRequest,400,7,92fybervug,GKSCD10011,"[""api"",""beats_input_codec_plain_applied""]",LP20230104000051,"2023-01-04_11:00:31.287"
"Jan 4, 2023 @ 11:00:31.062",1,EiBwfIUBwE5SqNpdmQXn,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}",LGPD,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,BR,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Portability,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","78,086",INFO,"API§2023-01-04_11:00:31.062§INFO §GK§resource=registrationGlobalRequest§sa_guid=92fybervug§parent_ticket_id=LP20230104000051§ticket_id=LP20230104000051§source_service_code=GKSCD10011§channel_type_code=LGPD§event_type=P§event_sub_type=R§country_code=BR§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}§",LP20230104000051,registrationGlobalRequest,400,5,92fybervug,GKSCD10011,"[""api"",""beats_input_codec_plain_applied""]",LP20230104000051,"2023-01-04_11:00:31.062"
"Jan 4, 2023 @ 11:00:30.839",1,"HXFwfIUBw89EdFJ2mOT-","gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}",LGPD,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,BR,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Portability,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","53,790",INFO,"API§2023-01-04_11:00:30.839§INFO §GK§resource=registrationGlobalRequest§sa_guid=92fybervug§parent_ticket_id=LP20230104000051§ticket_id=LP20230104000051§source_service_code=GKSCD10011§channel_type_code=LGPD§event_type=P§event_sub_type=R§country_code=BR§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}§",LP20230104000051,registrationGlobalRequest,400,6,92fybervug,GKSCD10011,"[""api"",""beats_input_codec_plain_applied""]",LP20230104000051,"2023-01-04_11:00:30.839"
"Jan 4, 2023 @ 11:00:30.615",1,ESBwfIUBwE5SqNpdmQXn,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}",LGPD,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,BR,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Portability,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","74,992",INFO,"API§2023-01-04_11:00:30.615§INFO §GK§resource=registrationGlobalRequest§sa_guid=92fybervug§parent_ticket_id=LP20230104000051§ticket_id=LP20230104000051§source_service_code=GKSCD10011§channel_type_code=LGPD§event_type=P§event_sub_type=R§country_code=BR§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}§",LP20230104000051,registrationGlobalRequest,400,5,92fybervug,GKSCD10011,"[""api"",""beats_input_codec_plain_applied""]",LP20230104000051,"2023-01-04_11:00:30.615"
"Jan 4, 2023 @ 11:00:30.391",1,"HHFwfIUBw89EdFJ2mOT-","gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}",LGPD,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,BR,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Portability,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","41,473",INFO,"API§2023-01-04_11:00:30.391§INFO §GK§resource=registrationGlobalRequest§sa_guid=92fybervug§parent_ticket_id=LP20230104000051§ticket_id=LP20230104000051§source_service_code=GKSCD10011§channel_type_code=LGPD§event_type=P§event_sub_type=R§country_code=BR§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}§",LP20230104000051,registrationGlobalRequest,400,6,92fybervug,GKSCD10011,"[""api"",""beats_input_codec_plain_applied""]",LP20230104000051,"2023-01-04_11:00:30.391"
"Jan 4, 2023 @ 11:00:30.168",1,G3FwfIUBw89EdFJ2leT8,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}",LGPD,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,BR,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Portability,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","74,243",INFO,"API§2023-01-04_11:00:30.168§INFO §GK§resource=registrationGlobalRequest§sa_guid=92fybervug§parent_ticket_id=LP20230104000051§ticket_id=LP20230104000051§source_service_code=GKSCD10011§channel_type_code=LGPD§event_type=P§event_sub_type=R§country_code=BR§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}§",LP20230104000051,registrationGlobalRequest,400,5,92fybervug,GKSCD10011,"[""api"",""beats_input_codec_plain_applied""]",LP20230104000051,"2023-01-04_11:00:30.168"
"Jan 4, 2023 @ 11:00:29.946",1,GnFwfIUBw89EdFJ2leT8,"gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}",LGPD,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,BR,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Portability,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","73,494",INFO,"API§2023-01-04_11:00:29.946§INFO §GK§resource=registrationGlobalRequest§sa_guid=92fybervug§parent_ticket_id=LP20230104000051§ticket_id=LP20230104000051§source_service_code=GKSCD10011§channel_type_code=LGPD§event_type=P§event_sub_type=R§country_code=BR§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}§",LP20230104000051,registrationGlobalRequest,400,5,92fybervug,GKSCD10011,"[""api"",""beats_input_codec_plain_applied""]",LP20230104000051,"2023-01-04_11:00:29.946"
"Jan 4, 2023 @ 11:00:29.723",1,GXFwfIUBw89EdFJ2leQR,"gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}",LGPD,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,BR,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Portability,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","40,724",INFO,"API§2023-01-04_11:00:29.723§INFO §GK§resource=registrationGlobalRequest§sa_guid=92fybervug§parent_ticket_id=LP20230104000051§ticket_id=LP20230104000051§source_service_code=GKSCD10011§channel_type_code=LGPD§event_type=P§event_sub_type=R§country_code=BR§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}§",LP20230104000051,registrationGlobalRequest,400,6,92fybervug,GKSCD10011,"[""api"",""beats_input_codec_plain_applied""]",LP20230104000051,"2023-01-04_11:00:29.723"
"Jan 4, 2023 @ 11:00:29.498",1,GHFwfIUBw89EdFJ2leQR,"gklog-api-2023.01.04",,"_doc","p1ec1-was01","{""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}",LGPD,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,BR,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Portability,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","39,975",INFO,"API§2023-01-04_11:00:29.498§INFO §GK§resource=registrationGlobalRequest§sa_guid=92fybervug§parent_ticket_id=LP20230104000051§ticket_id=LP20230104000051§source_service_code=GKSCD10011§channel_type_code=LGPD§event_type=P§event_sub_type=R§country_code=BR§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=6§api.request={""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}§",LP20230104000051,registrationGlobalRequest,400,6,92fybervug,GKSCD10011,"[""api"",""beats_input_codec_plain_applied""]",LP20230104000051,"2023-01-04_11:00:29.498"
"Jan 4, 2023 @ 11:00:29.275",1,"sS5wfIUBEKlRkG37u-rB","gklog-api-2023.01.04",,"_doc","p1ec1-was02","{""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}",LGPD,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,BR,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Portability,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","72,745",INFO,"API§2023-01-04_11:00:29.275§INFO §GK§resource=registrationGlobalRequest§sa_guid=92fybervug§parent_ticket_id=LP20230104000051§ticket_id=LP20230104000051§source_service_code=GKSCD10011§channel_type_code=LGPD§event_type=P§event_sub_type=R§country_code=BR§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""LP20230104000051"",""sa_guid"":""92fybervug"",""country_code"":""BR"",""event_type"":""portability"",""password"":""**********"",""user_request_date"":""20230104103413"",""service_code"":""CD30011"",""channel_type_code"":""LGPD""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""LP20230104000051"",""message"":""The value of the event_type is invalid.""}§",LP20230104000051,registrationGlobalRequest,400,5,92fybervug,GKSCD10011,"[""api"",""beats_input_codec_plain_applied""]",LP20230104000051,"2023-01-04_11:00:29.275"
