"@timestamp","@version","_id","_index","_score","_type","agent.name","api.request","api.response","channel_closed_yn","channel_http_code","channel_result_code","channel_type_code","cloud.availability_zone","cloud.instance.id","cloud.region","cloud.service.name",comp,"country_code","ecs.version","error_code","error_message","event_sub_type","event_type","exp_date","file_name","file_size","gk_id","gk_result_code",gubun,"host.hostname","host.ip","host.mac","host.os.type","input.type",link,"log.file.path","log.offset",loglevel,message,"parent_ticket_id",resource,"response_data","response_status","response_time","result_data","result_description","sa_guid","service_code","service_result_code","source_service_code",tags,"ticket_id",timestamp,"transfer_status_code","update_request_data"
"Jan 3, 2023 @ 18:47:03.538",1,5i31eIUBEKlRkG37iEpr,"gklog-api-2023.01.03",,"_doc","p1ec1-was01","{""ticket_id"":""SP-221104200112TBVS00"",""sa_guid"":""o2vp4mzy6b"",""country_code"":""BD"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221104200112"",""service_code"":""CD30018"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221104200112TBVS""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221104200112TBVS00"",""message"":""The value of the event_type is invalid.""}",,,,SP,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,BD,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Unsubscribe,,,,,,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","8,510,299",INFO,"API§2023-01-03_18:47:03.538§INFO §GK§resource=registrationGlobalRequest§sa_guid=o2vp4mzy6b§parent_ticket_id=SP-221104200112TBVS§ticket_id=SP-221104200112TBVS00§source_service_code=GKSCD10020§channel_type_code=S§event_type=U§event_sub_type=R§country_code=BD§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""SP-221104200112TBVS00"",""sa_guid"":""o2vp4mzy6b"",""country_code"":""BD"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221104200112"",""service_code"":""CD30018"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221104200112TBVS""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221104200112TBVS00"",""message"":""The value of the event_type is invalid.""}§","SP-221104200112TBVS",registrationGlobalRequest,,400,5,,,o2vp4mzy6b,,,GKSCD10020,"[""api"",""beats_input_codec_plain_applied""]","SP-221104200112TBVS00","2023-01-03_18:47:03.538",,
"Jan 3, 2023 @ 18:47:03.519",1,5S31eIUBEKlRkG37iEpr,"gklog-api-2023.01.03",,"_doc","p1ec1-was01","{""ticket_id"":""SP-221102181200HDFZ12"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD30026"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ12"",""message"":""The value of the event_type is invalid.""}",,,,SP,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,SA,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Unsubscribe,,,,,,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","8,506,964",INFO,"API§2023-01-03_18:47:03.519§INFO §GK§resource=registrationGlobalRequest§sa_guid=nmjqdjbxmj§parent_ticket_id=SP-221102181200HDFZ§ticket_id=SP-221102181200HDFZ12§source_service_code=GKSCD10028§channel_type_code=S§event_type=U§event_sub_type=R§country_code=SA§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""SP-221102181200HDFZ12"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD30026"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ12"",""message"":""The value of the event_type is invalid.""}§","SP-221102181200HDFZ",registrationGlobalRequest,,400,5,,,nmjqdjbxmj,,,GKSCD10028,"[""api"",""beats_input_codec_plain_applied""]","SP-221102181200HDFZ12","2023-01-03_18:47:03.519",,
"Jan 3, 2023 @ 18:47:03.518",1,pNP1eIUBwE5SqNpdX5Xl,"gklog-api-2023.01.03",,"_doc","p1ec1-was02","{""ticket_id"":""SP-221102181200HDFZ13"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD10001"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ13"",""message"":""The value of the event_type is invalid.""}",,,,SP,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,SA,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Unsubscribe,,,,,,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","8,321,779",INFO,"API§2023-01-03_18:47:03.518§INFO §GK§resource=registrationGlobalRequest§sa_guid=nmjqdjbxmj§parent_ticket_id=SP-221102181200HDFZ§ticket_id=SP-221102181200HDFZ13§source_service_code=GKSCD10034§channel_type_code=S§event_type=U§event_sub_type=R§country_code=SA§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=4§api.request={""ticket_id"":""SP-221102181200HDFZ13"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD10001"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ13"",""message"":""The value of the event_type is invalid.""}§","SP-221102181200HDFZ",registrationGlobalRequest,,400,4,,,nmjqdjbxmj,,,GKSCD10034,"[""api"",""beats_input_codec_plain_applied""]","SP-221102181200HDFZ13","2023-01-03_18:47:03.518",,
"Jan 3, 2023 @ 18:47:03.517",1,o9P1eIUBwE5SqNpdX5Xl,"gklog-api-2023.01.03",,"_doc","p1ec1-was02","{""ticket_id"":""SP-221102181200HDFZ15"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD20003"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ15"",""message"":""The value of the event_type is invalid.""}",,,,SP,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,SA,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Unsubscribe,,,,,,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","8,320,957",INFO,"API§2023-01-03_18:47:03.517§INFO §GK§resource=registrationGlobalRequest§sa_guid=nmjqdjbxmj§parent_ticket_id=SP-221102181200HDFZ§ticket_id=SP-221102181200HDFZ15§source_service_code=GKSCD10037§channel_type_code=S§event_type=U§event_sub_type=R§country_code=SA§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=3§api.request={""ticket_id"":""SP-221102181200HDFZ15"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD20003"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ15"",""message"":""The value of the event_type is invalid.""}§","SP-221102181200HDFZ",registrationGlobalRequest,,400,3,,,nmjqdjbxmj,,,GKSCD10037,"[""api"",""beats_input_codec_plain_applied""]","SP-221102181200HDFZ15","2023-01-03_18:47:03.517",,
"Jan 3, 2023 @ 18:47:03.515",1,odP1eIUBwE5SqNpdX5Xl,"gklog-api-2023.01.03",,"_doc","p1ec1-was02","{""ticket_id"":""SP-221102181200HDFZ14"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD20002"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ14"",""message"":""The value of the event_type is invalid.""}",,,,SP,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,SA,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Unsubscribe,,,,,,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","8,319,313",INFO,"API§2023-01-03_18:47:03.515§INFO §GK§resource=registrationGlobalRequest§sa_guid=nmjqdjbxmj§parent_ticket_id=SP-221102181200HDFZ§ticket_id=SP-221102181200HDFZ14§source_service_code=GKSCD10036§channel_type_code=S§event_type=U§event_sub_type=R§country_code=SA§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=4§api.request={""ticket_id"":""SP-221102181200HDFZ14"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD20002"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ14"",""message"":""The value of the event_type is invalid.""}§","SP-221102181200HDFZ",registrationGlobalRequest,,400,4,,,nmjqdjbxmj,,,GKSCD10036,"[""api"",""beats_input_codec_plain_applied""]","SP-221102181200HDFZ14","2023-01-03_18:47:03.515",,
"Jan 3, 2023 @ 18:47:03.515",1,otP1eIUBwE5SqNpdX5Xl,"gklog-api-2023.01.03",,"_doc","p1ec1-was02","{""ticket_id"":""SP-221102181200HDFZ16"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD10002"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ16"",""message"":""The value of the event_type is invalid.""}",,,,SP,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,SA,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Unsubscribe,,,,,,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","8,320,135",INFO,"API§2023-01-03_18:47:03.515§INFO §GK§resource=registrationGlobalRequest§sa_guid=nmjqdjbxmj§parent_ticket_id=SP-221102181200HDFZ§ticket_id=SP-221102181200HDFZ16§source_service_code=GKSCD10039§channel_type_code=S§event_type=U§event_sub_type=R§country_code=SA§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=3§api.request={""ticket_id"":""SP-221102181200HDFZ16"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD10002"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ16"",""message"":""The value of the event_type is invalid.""}§","SP-221102181200HDFZ",registrationGlobalRequest,,400,3,,,nmjqdjbxmj,,,GKSCD10039,"[""api"",""beats_input_codec_plain_applied""]","SP-221102181200HDFZ16","2023-01-03_18:47:03.515",,
"Jan 3, 2023 @ 18:47:03.502",1,5C31eIUBEKlRkG37iEpr,"gklog-api-2023.01.03",,"_doc","p1ec1-was01","{""ticket_id"":""SP-221102181200HDFZ11"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD30025"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ11"",""message"":""The value of the event_type is invalid.""}",,,,SP,"eu-central-1a","i-0faefdcf6ca938b4f","eu-central-1",EC2,API,SA,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Unsubscribe,,,,,,GK,"p1ec1-was01","[""10.15.21.158"",""fe80::c:f1ff:fec7:d8fa""]","[""02:0c:f1:c7:d8:fa""]",linux,log,,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","8,503,630",INFO,"API§2023-01-03_18:47:03.502§INFO §GK§resource=registrationGlobalRequest§sa_guid=nmjqdjbxmj§parent_ticket_id=SP-221102181200HDFZ§ticket_id=SP-221102181200HDFZ11§source_service_code=GKSCD10027§channel_type_code=S§event_type=U§event_sub_type=R§country_code=SA§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""SP-221102181200HDFZ11"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD30025"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ11"",""message"":""The value of the event_type is invalid.""}§","SP-221102181200HDFZ",registrationGlobalRequest,,400,5,,,nmjqdjbxmj,,,GKSCD10027,"[""api"",""beats_input_codec_plain_applied""]","SP-221102181200HDFZ11","2023-01-03_18:47:03.502",,
"Jan 3, 2023 @ 18:47:03.499",1,n9P1eIUBwE5SqNpdX5Xl,"gklog-api-2023.01.03",,"_doc","p1ec1-was02","{""ticket_id"":""SP-221102181200HDFZ08"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD30017"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ08"",""message"":""The value of the event_type is invalid.""}",,,,SP,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,SA,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Unsubscribe,,,,,,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","8,317,669",INFO,"API§2023-01-03_18:47:03.499§INFO §GK§resource=registrationGlobalRequest§sa_guid=nmjqdjbxmj§parent_ticket_id=SP-221102181200HDFZ§ticket_id=SP-221102181200HDFZ08§source_service_code=GKSCD10019§channel_type_code=S§event_type=U§event_sub_type=R§country_code=SA§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""SP-221102181200HDFZ08"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD30017"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ08"",""message"":""The value of the event_type is invalid.""}§","SP-221102181200HDFZ",registrationGlobalRequest,,400,5,,,nmjqdjbxmj,,,GKSCD10019,"[""api"",""beats_input_codec_plain_applied""]","SP-221102181200HDFZ08","2023-01-03_18:47:03.499",,
"Jan 3, 2023 @ 18:47:03.499",1,oNP1eIUBwE5SqNpdX5Xl,"gklog-api-2023.01.03",,"_doc","p1ec1-was02","{""ticket_id"":""SP-221102181200HDFZ09"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD30018"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ09"",""message"":""The value of the event_type is invalid.""}",,,,SP,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,SA,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Unsubscribe,,,,,,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","8,318,491",INFO,"API§2023-01-03_18:47:03.499§INFO §GK§resource=registrationGlobalRequest§sa_guid=nmjqdjbxmj§parent_ticket_id=SP-221102181200HDFZ§ticket_id=SP-221102181200HDFZ09§source_service_code=GKSCD10020§channel_type_code=S§event_type=U§event_sub_type=R§country_code=SA§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=5§api.request={""ticket_id"":""SP-221102181200HDFZ09"",""sa_guid"":""nmjqdjbxmj"",""country_code"":""SA"",""lang_code"":""en"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221102181200"",""service_code"":""CD30018"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221102181200HDFZ""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221102181200HDFZ09"",""message"":""The value of the event_type is invalid.""}§","SP-221102181200HDFZ",registrationGlobalRequest,,400,5,,,nmjqdjbxmj,,,GKSCD10020,"[""api"",""beats_input_codec_plain_applied""]","SP-221102181200HDFZ09","2023-01-03_18:47:03.499",,
"Jan 3, 2023 @ 18:47:02.686",1,0S31eIUBEKlRkG37hUpq,"gklog-api-2023.01.03",,"_doc","p1ec1-was02","{""ticket_id"":""SP-221028122706QJBT06"",""sa_guid"":""z4yfnoq5xa"",""country_code"":""AR"",""lang_code"":""es"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221028122706"",""service_code"":""CD30025"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221028122706QJBT""}","{""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221028122706QJBT06"",""message"":""The value of the event_type is invalid.""}",,,,SP,"eu-central-1b","i-012f7f9810157215b","eu-central-1",EC2,API,AR,"8.0.0",PR5004,"The value of the event_type is invalid.",Register,Unsubscribe,,,,,,GK,"p1ec1-was02","[""10.15.22.206"",""fe80::4b2:5eff:fe4b:8c38""]","[""06:b2:5e:4b:8c:38""]",linux,log,,"/home02/tomcat-logs/logs/api/comp/gk/v2/logs/gk/api/elk/GK_API.gk1.log","8,316,847",INFO,"API§2023-01-03_18:47:02.686§INFO §GK§resource=registrationGlobalRequest§sa_guid=z4yfnoq5xa§parent_ticket_id=SP-221028122706QJBT§ticket_id=SP-221028122706QJBT06§source_service_code=GKSCD10027§channel_type_code=S§event_type=U§event_sub_type=R§country_code=AR§error_code=PR5004§error_message=The value of the event_type is invalid.§response_status=400§response_time=4§api.request={""ticket_id"":""SP-221028122706QJBT06"",""sa_guid"":""z4yfnoq5xa"",""country_code"":""AR"",""lang_code"":""es"",""event_type"":""unsubscribe"",""password"":""**********"",""user_request_date"":""20221028122706"",""service_code"":""CD30025"",""channel_type_code"":""SDAP"",""parent_ticket_id"":""SP-221028122706QJBT""}§api.response={""result_code"":""Fail"",""error_code"":""PR5004"",""ticket_id"":""SP-221028122706QJBT06"",""message"":""The value of the event_type is invalid.""}§","SP-221028122706QJBT",registrationGlobalRequest,,400,4,,,z4yfnoq5xa,,,GKSCD10027,"[""api"",""beats_input_codec_plain_applied""]","SP-221028122706QJBT06","2023-01-03_18:47:02.686",,
